DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	simple bar testing
LEGEND_TITLE	Example legend title
LEGEND_SHAPES	1	1	2	2
LEGEND_COLORS	#ff0000	#00ff00	#00ffff	#0000ff
LEGEND_LABELS	value1	value2	value3	value4
COLOR	#ffff00
WIDTH	1000
MARGIN	0
HEIGHT_FACTOR	1
BAR_SHIFT	0
BAR_ZERO	0

DATA
bin1049	57.0111357954397
bin1051	364.871269090814
bin1052	57.0111357954397
bin1053	661.3291752271
bin1055	125.424498749967
bin1058	0
bin1060	34.2066814772638
bin1071	45.6089086363517
bin1081	22.8044543181759
bin1083	34.2066814772638
bin1090	57.0111357954397
bin1091	79.8155901136156
bin1093	877.971491249771
bin1098	798.155901136156
bin1100	114.022271590879
bin1102	91.2178172727035
bin1108	159.631180227231
bin1114	171.033407386319
bin1115	421.882404886254
bin1116	239.446770340847
bin1131	4002.18173283987
bin1134	763.949219658892
bin1148	3762.73496249902
bin1182	1128.82048874971
bin1183	376.273496249902
bin1195	193.837861704495
bin1200	45.6089086363517
bin1201	91.2178172727035
bin1202	11.4022271590879
bin1224	11.4022271590879
bin1230	0
bin1237	22.8044543181759
bin1239	11.4022271590879
bin1242	68.4133629545276
bin1246	0
bin1252	661.3291752271
bin1256	45.6089086363517
bin1257	11.4022271590879
bin1258	57.0111357954397
bin1259	0
bin1269	273.65345181811
bin1270	22.8044543181759
bin1271	11.4022271590879
bin1272	22.8044543181759
bin1273	22.8044543181759
bin1274	0
bin1276	216.642316022671
bin1278	114.022271590879
bin1283	34.2066814772638
bin1284	957.787081363387
bin1285	148.228953068143
bin1287	102.620044431791
bin1291	1128.82048874971
bin1294	9353235.53637267
bin1296	558.709130795309
bin1299	68.4133629545276
bin1300	171.033407386319
bin1303	125.424498749967
bin1308	205.240088863583
bin1315	421.882404886254
bin1316	262.251224659023
bin1317	216.642316022671
bin1325	387.67572340899
bin1328	843.764809772507
bin1332	1185.83162454515
bin1333	387.67572340899
bin1337	79.8155901136156
bin1340	3956.57282420351
bin1344	114.022271590879
bin1345	91.2178172727035
bin1346	2930.3723798856
bin1361	1151.62494306788
bin1362	889.373718408859
bin1363	1516.4962121587
bin1370	114.022271590879
bin1372	330.66458761355
bin1387	478.893540681693
bin1388	661.3291752271
bin1389	604.318039431661
bin1397	205.240088863583
bin1399	228.044543181759
bin1400	228.044543181759
bin1405	410.480177727166
bin1411	79.8155901136156
bin1436	68.4133629545276
bin1437	79.8155901136156
bin1438	11.4022271590879
bin1455	353.469041931726
bin1479	114.022271590879
bin1480	34.2066814772638
bin1481	763.949219658892
bin1484	12850.3100082921
bin1485	13580.0525464737
bin1489	3032.99242431739
bin1493	68.4133629545276
bin1494	68.4133629545276
bin1498	6305.43161897563
bin1516	57.0111357954397
bin1517	79.8155901136156
bin1520	45.6089086363517
bin1525	285.055678977198
bin1526	342.066814772638
bin1530	171.033407386319
bin1532	136.826725909055
bin1533	364.871269090814
bin1555	20763.4556566991
bin1556	8528.86591499778
bin1564	16442.0115634048
bin1569	102.620044431791
bin1576	1710.33407386319
bin1578	775.35144681798
bin1581	478.893540681693
bin1583	171.033407386319
bin1586	148.228953068143
bin1589	125.424498749967
bin1590	91.2178172727035
bin1592	148.228953068143
bin1594	91.2178172727035
bin1595	1755.94298249954
bin1597	843.764809772507
bin1602	102.620044431791
bin1603	900.775945567947
bin1604	159.631180227231
bin1605	467.491313522605
bin1610	205.240088863583
bin1611	171.033407386319
bin1618	125.424498749967
bin1621	2565.50111079479
bin1622	1345.46280477238
bin1624	775.35144681798
bin1625	364.871269090814
bin1630	37399.3050818084
bin1637	159.631180227231
bin1642	775.35144681798
bin1643	763.949219658892
bin1644	250.848997499935
bin1645	250.848997499935
bin1646	1505.09398499961
bin1648	832.362582613419
bin1649	501.697994999869
bin1650	136.826725909055
bin1656	91.2178172727035
bin1662	125.424498749967
bin1663	0
bin1664	68.4133629545276
bin1665	0
bin1666	0
bin1672	513.100222158957
bin1675	171.033407386319
bin1683	4891.55545124872
bin1687	11.4022271590879
bin1694	159.631180227231
bin1695	11003.1492085199
bin1696	946.384854204299
bin1698	91.2178172727035
bin1703	114.022271590879
bin1704	570.111357954397
bin1714	262.251224659023
bin1729	319.262360454462
bin1734	786.753673977068
bin1735	68.4133629545276
bin1736	262.251224659023
bin1737	193.837861704495
bin1738	250.848997499935
bin1743	3819.74609829446
bin1763	228.044543181759
bin1766	216.642316022671
bin1774	2884.76347124925
bin1778	11.4022271590879
bin1780	22.8044543181759
bin1787	3979.37727852169
bin1798	34.2066814772638
bin1806	68.4133629545276
bin1809	11.4022271590879
bin1814	114.022271590879
bin1817	148.228953068143
bin1818	91.2178172727035
bin1819	1197.23385170423
bin1820	1208.63607886332
bin1821	1201122.01116548
bin1823	91.2178172727035
bin1824	159.631180227231
bin1829	11.4022271590879
bin1832	18699.6525409042
bin1834	182.435634545407
